shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_536_1,24.81449,125.22108,180065
shapes_536_1,24.81431,125.22107,180066
shapes_536_1,24.81418,125.22103,180067
shapes_536_1,24.81403,125.22094,180068
shapes_536_1,24.81386,125.2208,180069
shapes_536_1,24.81357,125.22047,180070
shapes_536_1,24.81324,125.2201,180071
shapes_536_1,24.81303,125.21994,180072
shapes_536_1,24.81278,125.21983,180073
shapes_536_1,24.81217,125.21966,180074
shapes_536_1,24.81196,125.21956,180075
shapes_536_1,24.81169,125.2194,180076
shapes_536_1,24.8115,125.21924,180077
shapes_536_1,24.81133,125.21908,180078
shapes_536_1,24.81128,125.21902,180079
shapes_536_1,24.81111,125.21882,180080
shapes_536_1,24.81084,125.2184,180081
shapes_536_1,24.8107,125.21832,180082
shapes_536_1,24.81061,125.21829,180083
shapes_536_1,24.8105,125.21828,180084
shapes_536_1,24.81041,125.21827,180085
shapes_536_1,24.80973,125.21886,180086
shapes_536_1,24.8088,125.21965,180087
shapes_536_1,24.80788,125.22052,180088
shapes_536_1,24.80709,125.22136,180089
shapes_536_1,24.80672,125.22179,180090
shapes_536_1,24.80629,125.22234,180091
shapes_536_1,24.80497,125.22427,180092
shapes_536_1,24.80009,125.23207,180093
shapes_536_1,24.79963,125.23283,180094
shapes_536_1,24.7992,125.23358,180095
shapes_536_1,24.79877,125.23439,180096
shapes_536_1,24.79838,125.23515,180097
shapes_536_1,24.79802,125.23593,180098
shapes_536_1,24.79767,125.23675,180099
shapes_536_1,24.79735,125.23756,180100
shapes_536_1,24.79705,125.23838,180101
shapes_536_1,24.79676,125.23925,180102
shapes_536_1,24.79651,125.2401,180103
shapes_536_1,24.79627,125.24095,180104
shapes_536_1,24.79606,125.24181,180105
shapes_536_1,24.79587,125.24268,180106
shapes_536_1,24.79571,125.24357,180107
shapes_536_1,24.79558,125.24445,180108
shapes_536_1,24.79546,125.24533,180109
shapes_536_1,24.79496,125.2503,180110
shapes_536_1,24.79491,125.25083,180111
shapes_536_1,24.79484,125.25166,180112
shapes_536_1,24.79482,125.25235,180113
shapes_536_1,24.79481,125.25336,180114
shapes_536_1,24.79482,125.25393,180115
shapes_536_1,24.79485,125.25448,180116
shapes_536_1,24.79506,125.2567,180117
shapes_536_1,24.79508,125.25692,180118
shapes_536_1,24.79508,125.25717,180119
shapes_536_1,24.79508,125.25734,180120
shapes_536_1,24.79505,125.25753,180121
shapes_536_1,24.79501,125.2577,180122
shapes_536_1,24.79464,125.25922,180123
shapes_536_1,24.79457,125.25937,180124
shapes_536_1,24.79449,125.25952,180125
shapes_536_1,24.79442,125.25962,180126
shapes_536_1,24.79424,125.25982,180127
shapes_536_1,24.79384,125.26015,180128
shapes_536_1,24.79364,125.26033,180129
shapes_536_1,24.79349,125.26047,180130
shapes_536_1,24.79326,125.26071,180131
shapes_536_1,24.79305,125.26103,180132
shapes_536_1,24.79287,125.26135,180133
shapes_536_1,24.7926,125.26186,180134
shapes_536_1,24.7922,125.26271,180135
shapes_536_1,24.79172,125.26364,180136
shapes_536_1,24.79153,125.26409,180137
shapes_536_1,24.79142,125.26443,180138
shapes_536_1,24.79135,125.2647,180139
shapes_536_1,24.7913,125.26498,180140
shapes_536_1,24.79128,125.26514,180141
shapes_536_1,24.79127,125.26533,180142
shapes_536_1,24.79127,125.26559,180143
shapes_536_1,24.79129,125.26586,180144
shapes_536_1,24.79131,125.26617,180145
shapes_536_1,24.79137,125.26639,180146
shapes_536_1,24.79142,125.26657,180147
shapes_536_1,24.79155,125.26693,180148
